id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
44638799,2328418200,566686273,334.8573882361887,0,5,0,0,0,"LINESTRING(91.6733883 26.1341202, 91.6734199 26.1338948, 91.6734763 26.1336748, 91.6741447 26.1311911)"
44638799,566686273,4972478326,127.03558029047538,0,5,0,0,0,"LINESTRING(91.6741447 26.1311911, 91.6743394 26.1306446, 91.6744481 26.1303760, 91.6745764 26.1301190)"
44638799,4972478326,566686277,112.665821751424,0,5,0,0,0,"LINESTRING(91.6745764 26.1301190, 91.6745878 26.1300962, 91.6747474 26.1298540, 91.6749330 26.1296170, 91.6750864 26.1294438, 91.6752310 26.1292987)"
44638799,566686277,6723333195,675.5794118483724,0,5,0,0,0,"LINESTRING(91.6752310 26.1292987, 91.6766264 26.1281586, 91.6768078 26.1280408, 91.6773245 26.1276985, 91.6806800 26.1257324)"
44638799,6723333195,1380069525,266.51548463369545,0,5,0,0,0,"LINESTRING(91.6806800 26.1257324, 91.6829131 26.1244239)"
44638799,1380069525,566686282,333.8441770246189,0,5,0,0,0,"LINESTRING(91.6829131 26.1244239, 91.6857018 26.1227732)"
44638799,566686282,6706035644,641.478953593988,0,5,0,0,0,"LINESTRING(91.6857018 26.1227732, 91.6859185 26.1226516, 91.6861442 26.1225336, 91.6864262 26.1224063, 91.6867169 26.1222905, 91.6869582 26.1222067, 91.6872150 26.1221256, 91.6917204 26.1208127)"
44638799,6706035644,6709695327,299.6015761510528,0,5,0,0,0,"LINESTRING(91.6917204 26.1208127, 91.6945684 26.1199733)"
44638799,6709695327,6709695325,106.91107225230388,0,5,0,0,0,"LINESTRING(91.6945684 26.1199733, 91.6955847 26.1196738)"
44638799,6709695325,1364513165,109.2676849055914,0,5,0,0,0,"LINESTRING(91.6955847 26.1196738, 91.6966234 26.1193677)"
44638799,1364513165,653107222,1261.3554535555884,0,5,0,0,0,"LINESTRING(91.6966234 26.1193677, 91.7058783 26.1165773, 91.7078622 26.1159748, 91.7081512 26.1158938, 91.7083565 26.1158471, 91.7086039 26.1158319)"
44638799,653107222,1380569574,157.40958842904823,0,5,0,0,0,"LINESTRING(91.7086039 26.1158319, 91.7093086 26.1157952, 91.7101774 26.1158091)"
44638799,1380569574,566686295,866.6595464962425,0,5,0,0,0,"LINESTRING(91.7101774 26.1158091, 91.7178611 26.1158906, 91.7182614 26.1158760, 91.7188418 26.1158052)"
44638799,566686295,566686296,38.83804660692834,0,5,0,0,0,"LINESTRING(91.7188418 26.1158052, 91.7192213 26.1157303)"
44638826,4976867014,4976867018,74.57318991248181,1,3,3,2,2,"LINESTRING(91.6572951 26.1410356, 91.6579607 26.1413385)"
44638826,4976867018,4976867093,4.800096180545534,1,3,3,2,2,"LINESTRING(91.6579607 26.1413385, 91.6580046 26.1413560)"
44638826,4976867093,4976867092,89.82062724263493,1,3,3,2,2,"LINESTRING(91.6580046 26.1413560, 91.6588262 26.1416832)"
44638826,4976867092,1380069930,37.57303001130233,1,3,3,2,2,"LINESTRING(91.6588262 26.1416832, 91.6591721 26.1418155)"
44638826,1380069930,4976867113,21.49954444705376,1,3,3,2,2,"LINESTRING(91.6591721 26.1418155, 91.6593711 26.1418889)"
44638826,4976867113,4976867117,132.14243908819228,1,3,3,2,2,"LINESTRING(91.6593711 26.1418889, 91.6606123 26.1422983)"
44638826,4976867117,1380069409,15.616528054139447,1,3,3,2,2,"LINESTRING(91.6606123 26.1422983, 91.6607569 26.1423515)"
44638826,1380069409,1380068849,110.71125271045244,1,3,3,2,2,"LINESTRING(91.6607569 26.1423515, 91.6617280 26.1428302)"
44638826,1380068849,4976867122,20.823855629794792,1,3,3,2,2,"LINESTRING(91.6617280 26.1428302, 91.6618773 26.1429607)"
44638826,4976867122,5055787123,197.6583752664718,1,3,3,2,2,"LINESTRING(91.6618773 26.1429607, 91.6632585 26.1442317)"
44638826,5055787123,5055787125,60.52970483965799,1,3,3,2,2,"LINESTRING(91.6632585 26.1442317, 91.6636815 26.1446209)"
44638826,5055787125,4976867260,46.85551307988847,1,3,3,2,2,"LINESTRING(91.6636815 26.1446209, 91.6640606 26.1448686)"
44638826,4976867260,1380070061,25.236626468614094,1,3,3,2,2,"LINESTRING(91.6640606 26.1448686, 91.6642416 26.1450267)"
